id,number,title,artist,album,year,language
10731,b3,0b3-gengennarugenge (phil jay remix),z100,original megamix 2 (1994),null,eng.
1977,6,stars and hereos,luke slater,friend of mute: evidence fall 2002,2002,english
3842,11,vangelis - the prodigal son brings death,,blade_runner_-_ems_recombination,,english
16858,005,golden revelation (night and day),andy park,night and day,1999,
713,6,mrs beane / aufmarsch,stage holding,titanic! das musical in hamburg,2002,
2601,3,more games,kowton,livitysound,2013,english
14047,009,duct tape bubble (moments in weightlessness),muzzy pep,moments in weightlessness,2000,
5499,4,rich wiley - smile,,the blue sky project: a clorox charity collection,08,english
10149,10,010-unchained melody,the righteous brothers,the definitive collection (unknown),null,eng.
11300,3,"clarinet concerto in a major, k. 622",wolfgang amadeus mozart,unforgettable classical melodies,,english
12152,7,hellmut hattler - mutabor,,bassball,57,english
9310,17,017-i love my dog,cat stevens,reklame favoritter 2 (unknown),null,eng.
4166,7,007-queer notions,fletcher henderson and his orchestra,"the real kansas city of the '20s, '30s & '40s (unknown)",null,eng.
9962,11,malene mortensen - empty skies,,malene,06,english
8323,4,freeze,twin machine,generator,,english
8854,10,edith piaf - la goualante du pauvre jean,,compact d'or,87,french
15190,b1,streetkiller -great white,great white,,'84,english
16074,5,robin hood - el mensaje del mago,nu,,'98,spanish
2443,8,tyler's song,coal chamber,scream 3 (2000),null,eng.
1451,2,fox on the run - lista para matar,bella bestia,,'86,spanish
4122,4,jimi hendrix - voice in the wind,,jimi hendrix collection,00,english
18684,9,vacuum - no copyrights,newtone,,'08,english
16567,4,rob ronalds - mariandel,,het beste van,10,dutch
1395,13,love your neighbbour,komor kommando,"gothic compilation, part xliv",2009,english
17870,4,004-play hat funky music (a cappella mix),vanilla ice,ice ice baby (remix) (1990),null,eng.
2393,016,the girl from ipanema (romantic paradise),andre rieu,romantic paradise,2003,
7147,016,barrio h (05 remember) (more fieles),romo,more fieles,2008,
11816,1,001-kinoshita,fridge,eph (2002),null,eng.
17602,14,venus in furs,monster magnet,monolithic baby!,2004,english
11427,3,el viejo amor - berretineando,new york tango jam session,,,spadnish
13008,11,"011-(shake, shake, shake) shake your booty",kc and the sunshine band,disco fever 2: 21 all-time disco hits! (1999),null,eng.
16310,006,"concerto grosso in g major, op. 3, no. 3, hwv 314: i. largo e staccato. allegro (concerti grossi (collegium musicum feat. conductor: vickor alexeyev, oboe: victor hussu))",georg friedrich handel,"concerti grossi (collegium musicum feat. conductor: vickor alexeyev, oboe: victor hussu)",2004,
11801,12,elbee bad the prince of dance of dance music - the music is kicking,,the true story of house music,12,english
11149,8,chunky nelson - can you see me,,dance & pop 5: fashion,,unknown
18953,1,the river's takin' care of me,henry allen - coleman hawkins and their orchestra,"encyclopedia of jazz, part 2: swing time",,english
5506,2,la balad adel diablo y la muerte,andres gimenez,"escuchame entre el ruido: 40 anos de rock argentino, volumen ii",2006,spanish
13657,4,hello (orizinarukaraoke),fu shan ya zhi,hello,1995,japanese
3264,009,the days of wine and roses (is that you?),bill frisell,is that you?,1990,
9402,9,just one more hack - musenet 1992,mark wheadon,,'93,english
11564,13,"the tallis scholars - joseph lieber, joseph mein (h. praetorius)",,christmas carols and motets,,null
3182,11,wedding bells - 25 years of rock'n roll - 1981,godley & creme,,'88,english
7455,017,passiv bog (gbg punk 1977-1980),slobobans undergang,gbg punk 1977-1980,1992,
17945,10,do it again - heavy traffic,status quo,,'02,english
17946,4,rusconi - almost alive,,stop & go,09,english
15990,12,"where did you sleep last night? - 1993-11-18: performance: mtv unplugged, sony studios, new york city, ny, usa",nirvana,,,english
13042,010,sagar (infiniti),junoon,infniti,2007,
13979,002,she will be loved (beautiful: the new collection autumn 2004),maroon 5,beautiful: the new collection autumn 2004,2004,
17728,11,"gyrlz, they love me - a tribute to heavy d",heavy d. & the boyz,,'11,english
8207,4,"sinfonia in d major, no. 8: i. allegro",jiri antonin benda,sinfonias nos. 7-12(prague chamber orchestra feat. director christian benda),2006,english
1218,b3,capitel v: bergtatt - ind i fjeldkamrene,,bergtatt: et eeventyr i 5 capitler,1997,norwegian
5654,4,stuck in a moment you can't get out of,u2,blackball,2003,english
10634,8,crazy repetition (full mix) - air flow,tadeeusz bajewski,,,english
16131,10,step aside,vital information,easier done than said,1992,english
1490,8,i hate the sun - hate/human,cyruss,,'05,english
203,11,je me rappelle d'une epoque - suicide commercial,vrai ben feat. yahlane,,'09,french
5250,23,life is a funny game  - psyche pop girl,jose le ggall & olivier cochet,,,english
8002,4,terrible herbst - ex oriente lux 1987 - 2012,herbst in peking,,'12,german
5371,5,005-,,(2007),null,rus.
3741,7,la cancion del oso bandito - morituri,incursed,,'10,english
6597,4,the river,jackie wilson,"a woman, a lover, a fruiend",1960,engliish
7647,009,song of the islands (na lei o hawaii) (hawaii's greatest hits),new hawaiiann band,hawaii's greatest hits,,
8994,15,nagasai,the mills brothers,goldjen greats,2002,english
3423,4,dickhead,oomph!,sperm,2004,[multiple languages]
18113,10,she's movin' in with rico - pool it!,monkees,,'87,english
13308,009,world on a plate (till monkeys fly),racoon,till monkeys fly,2005,
11579,1,"001-interview & making making ""inferno""",motorhead,inferno (2004),null,eng.
4546,1,"buchipanda - supamogu""di di te ji supamogu""",,v-rare soundtrack 17,10,japanese
3607,7,is your is or is you ain't (my baby) (rae & christian remix),dinah washington,"pinacolada, volume 3",2005,english
10224,1,mannie fresh - intro,,the mind of mannie fresh,04,english
14111,1,shift,radian,juxtaposition,2004,english
5878,15,015-kis orosz lany,tankcsapda,a legjobb mereg / punk & roll (1994),null,hun.
13399,13,fabrizio de andre con pfm - la guerra di piero,,effedia: sulla mia cattiva strada,08,italian
14913,10,010-how ya feel,gucci manne,bird money (the mixtape) (unknown),null,eng.
17753,3,003-zouk & love,caribbean team,hotel chill: caribbean (unknown),null,eng.
9675,16,coming clean,green day,egocentric plastic men,1994,english
2040,12,toi notre dame de la route - anthologie 1977-2008,jean-claude gianadda,,'08,french
10670,11,igor' fiodorovich stravinskii - the soldier's tale: three dances: tango,,"the soldier's tale (the london sinfonietta feat. sting, vanessa redgrave, ian mckellen, conductor: kent nagano)",88,english
1136,3,003-public enemy #1,motley crue,too fast for love (2008),null,eng.
11671,17,massacre - the public eye,mark isham,,'92,english
458,007,"everytime (nalin & kane mix) (dancenet, volume 3)",lustrla,"dancenet, volume 3",1997,
12296,2,castrate th wreckage,olckup,hate breeds suffering,2002,english
2218,1,enamorada (frente a ti),edith marquez,frente a ti,,
8372,a3,huckleberry finn - shu-bi-dua 6,shu*bi*dua,,'79,danish
15444,001,"string quartet in a minor, op. 51, no. 2 - allegro non troppo (music & the arts: volume 2, number 1)",johannes brahms,"music & the arts: volume 2, number 1",,
11542,12,012-havin' good time,def dames dope,it's a girl (1993),null,eg.
15377,007,a mountaintop for me (silver dollar city: southern gospel gold),crabb family,southern,2001,
10829,14,tango a ttrois - lisboa,,caf e banlieue,,[multiple languages]
17057,8,johann sebastian bach - variation vii,,"goldberg variations (violin: jonathan crow, viola: doyuglas mcnabney, cello: matt haimovitz)",08,english
11221,5,garden of eden,new riders of the purple sage,before time began,,english
18050,17,017-the dogs,basbin twims,bassbin twins vs. marine parade (2006),null,eng.
19167,5,005-livet armjolk,panik,livet ar mjolk (1980),null,swe.
10847,001,what are they doing in heaven today? (i don't know where i'm going but i'm on my way),murry hammond,i don't know where i'm going but i'm on my way,,
488,21,the pressure - retro arena top 100,eject,,'09,english
8864,9,reservations for two - love changes,kashif,,'87,english
4464,1,symphony no. 1: i. allegro assai,sir william walton,"bbc music, volume 17, number 12: symphony no. 1 (bbc symphony orchestra feat. conductor: sir adrian boult)",2009,english
18588,16,catalyst - wake up and speak,,gowned & bagged: wellington youth compilation,00,english
12320,1,001-you're my candy sweet,fatback,fatback xii (1992),null,eng.
9777,8,008-sapho,pierre desproges,"les requisitoires du tribunal des flagrants delires, vol. ii (1993)",null,fre.
2511,28,matt hill & manickam yogeswaran - al-kindi (full mix),,"world, dance, indian",02,english
11673,10,feels - the collection,heart,,'05,english
2978,7,007-september,ryan adams & the cardinals,"bedhead 5 - ""what will happen next"" (2005)",null,eng.
6344,7,les nuits d'ete: villanelle,hector berlioz,les grands classiques d'edgar : encore plus,2007,french
11660,5,mama said~ hatarakitsupa~  - magic number,kick the can crew,,,japanese
15928,007,black mountain (passion spirit),nicole,passion spirit,,
18875,1,001-a world in the fold,zero system,meridian (2010),null,eng.
13856,b,saturday looks good to me - springtime judgement,,springtime judgement,08,english
2259,5,005-panic in detroit,david bowie,"2006-06-05: 40 years to reality: pnc art center, holmdel, nj, usa",2006,eng.
10642,11,"boys noize - wu-tang (the battery, part 2)",,oi oi oi,07,english
8257,10,lassin serenaati,marit ja mikot,marit ja mikot,,finnish
18928,1,clear through the years - ho no it's... the wonder stuff,wonder stuff,,'12,english
5679,7,it may be the last time,james brown,live at the garden,2009,english
9125,14,der-black---nota-bene,,meschugge,08,german
4433,25,dj rene - music all over the world,,grandmix 2000,01,english
2160,001,man ah warrior,tappa zukie,man ah warrior,2003,
13629,17,hisui,fang he jing stai,promised dawn: melty blood original soundtrack,2003,japanese
18809,a3,0a3-metropolis,kraftwerk,the man-machine (1993),null,eng.
18416,16,016-pete kelly's blues,sid phillips & his band,the best of britishjazz (2005),null,eng.
18788,13,the stills - changes are no good,,hits 58,04,english
13626,15,kutless - unto you,,glory,14,english
5060,2,002-so viel zu tun,budzillus,auf gedeih und verderb (2012),null,unknown
9508,5,"cantata""ichwilldenkreuzstabgernetragen"",bwv56:v.choral:""komm,otod,dusschlafesbruder""",johann sebastian bach,111 years of deutsche grammophon: the collectors' edition 2,2010,english
9578,3,fatboy slim - always read the label,,null,98,english
17168,34,"j. svare, c. l. hanson, al dixon, ach dixon, alf dixon & k. nelson - backroom boogie",,sonic bling,,english
3948,9,alex ubago - vuelves a pensar,,?que pides tu?,01,spanish
6096,004,the wind speaks (signs of life),rondi charleston,signs of life,2013,
2875,11,restless - collection,flash nad  the pna,,,english
3917,007,"oranges: les ridicules (violin concertos nos. 1, 2 / love for three oranges suite)",sergei sergeevich prokof'ev,"violin concertos nos. 1, 2 / love for three oranges suite",,
6607,15,015-the good night waltz,dan zanes and friends,family dance (unknown),null,unknown
5133,9,unblind,descending,enter annihilation,2008,english
4498,14,014-wij gaan beginnen,samson & gert,20 jaar samson & gert (2010),null,dut.
16211,2,introduction - i enjoy being a girl,roseanne barr,,'90,english
4080,6,you can't be satisfied - secondathallam,andre ethier,,'06,english
2129,7,007-(good morning little schoolgirl) are you going my way,jussi raittinen,muistan viela vuonna -76 (unknown),null,fin.
4571,5,tiere,johann kohnich,"...liest, singt und macht.",,german
16750,14,rubricas no tan unicas,los gandules,manana de petanca,2012,spanish
13231,7,flood ii - germany 1990 (live in heidelberg nov. 22),sisters_of_mercy,,,english
12402,005,light i love (future women),m's,future women,2006,
15056,6,avundsjuk,nanne gronwall,svenska schlagerfavoriter,2001,swedish
15535,001,we 'a' rockers,inner circle,rockers,1995,
11962,35,afriganda (full mix),barry dean s hear,expedition:africa,,english
15120,1,"ai linda, ai linda",xaile,xaile,2007,portuguese
16914,3,the great deceiver - lake of sulphur,,terra incognito,04,english
16695,20,dong jing shi bian  - ti,,spa & treatment,10,japanese
8789,10,nightwish - wishmaster (live),,over the hills and far away,08,english
16745,3,jim beard - hope,,advocate,99,english
8528,10,"wild thing - classic 60's hits, volume 1",troggs,,'96,english
4029,16,whatever happened to thamesbeat (alternative session take),the times,this is ondon,2006,english
11764,35,035-power generators,philip green & william loose & emil cadkin,newsreel sports showbiz fashion (unknown),null,eng.
1945,6,requiem: confutatis maledictis,wolfgang amadeus mozart,requiem,'90,english
12493,5,i am a destroyer - key,pg.lost,,'12,english
18465,12,stonewall jackson - bj the dj,,bigb ad country,,english
16822,12,lan shla tlky,shyry mymvn,shyry mymvn,2005,hebrew
8034,35,"mirage (full mix) - hard rock guitar, volume 3",palo chodelka & lubo lichy,,,english
7192,b3,0b3-little by little,oasis,heathen chemistry (2009),null,eng.
15957,3,003-jailhouse rock,the residents,the king & eye: rmx (2004),null,eng.
1564,020,blue house (pottwalplatte 2),roy and the devil's motorcycle,pottwalplatte 2,2007,
19353,8,"get down (feat. kenny dope, dj sneak, terry hunter & tara mcdonald) (mousse t club mix) - bargrooves: bar anthems",todd terry all stars,,'08,englishy
19284,1,"igor presents ""rumors""; paulo presents ""against""; andreas presents ""hatred aside""; derrick presents ""choke"" - against - 4 track pre-listening",sepultura,,'98,english
2107,4,004-the fireworks treatment,south san gabriel,songs/music (2000),null,eng.
17533,3,architectonics 2,erkki-sven tuur,architectonics,,english
12333,10,traume heissen du - a woman and a half,hildegard knef,,'03,german
12068,2,003-marry the night,lady gaga,now that's what i call music! 41 (2012),null,eng.
1006,3,rechoque (fukkk offf remix) - rechoque redux,shameboy,,'09,english
1577,14,always come back to your love - 100 love classsics,samantha mumba,,'07,english
9936,009,cool for cats (top of the pops 1979),squeeze,top of the pops 1979,2007,
7582,12,help me,canned heat,on the road again,,english
2175,002,and when the night comes (private collection),jon & vangelis,private collection,1983,
2560,023,il etait une fois l'espace (anthology),michel legrand,anthology,2013,
16457,7,007-hizkuntzaren kaiola,inoren ero ni,fregoli (2011),null,bas.
15999,7,francisco mario - tempestade (7o movimento),,danca do mar,,portuguese
13521,7,atzukak - a joan,,al'atzar,08,catalan
10323,3,"concerto for piano no. 17 in g major, k. 453 ""second ployer"": iii. allegretto & finale. presto",wolfgang amadeus mozart,"complete works, volume 2: concertos",2005,english
12362,4,jenny,jimmy cousins,gratitude problem (greatest hits) (2011),null,eng.
15546,8,judith christie-mcallister - send judah first,,send judah first,,english
14793,12,thrice - t & c,,identity crisis,00,english
1131,6,"fernando sro - etude in a major, op. 6 no. 6",,19th century guitar favourites,94,english
12055,7,wow - now dance 2012 - part 2,inna,,'12,english
15299,012,kiitavan hetken hurma (tahtisarja: 30 suosikkia),eini,tahtisarja: 30 suosikkia,2005,
4855,9,juanes - rosario tijeras,,mi sangre,04,spanish
8745,7,nudge - search party,,elaborate devices for filtering crisis,03,english
16262,4,i feel you slipping away,john jennings,it's all good,2000,eglish
12763,4,tempermental woman - drunk horse,drunk horse,,'99,english
13403,008,if you be my baby (mr. wonderful),fleetwood mac,mr. wonderful,2004,
4025,10,010-deeper inside,michael kroll,salt (unknown),null,eng.
1729,004,you and me (flags forward),mystery palace,flags forward,,
12059,7,007-all shook up,presley,rock'n roll (1999),null,eng.
2878,13,lou christie - lightnin' strikes,,the very best of the 60s (disc 1),06,english
9384,2,john strafford (1934-1996) or the colour of summer - two (the biographer),chapter,,'06,english
2427,018,joshua fit the battle of jericho (hard time blues),josh white,hard time blues,2000,
13474,18,groove is in the girls (deee-lite vs. the prodigy),dunproofin',best of bootie 2009 v.2,2010,english
4473,5,edoardo bennato - ragazzi bravi,,i buoni e i cattivi,78,italian
1098,b1,just a thought,praparation-h,sexist society...m ust destroy it! / it's a dog's world...,1996,english
6466,2,deep sea,cb funk,subway to cologne,2008,english
11688,4,004-going crazy,jean grae,this week (2004),null,eng.
11725,5,travel light - 21 hours,quazar,,'99,english
17553,5,game over - armada trance 17,heatbeat,,'13,english
13829,1,longe de tudo,ira,mudanca de comportamento,2000,portuguese
16329,7,askimdan vazgecme - soz - muzik umit sayin,umit sayin feat. leman sam,,'11,turkish
4235,13,where dear friends will never part - lines & traces,front porch string band,,,english
9858,b4,0b4-only you,mikhael paskalev,whats life without losers (2013),null,eng
10054,6,"gib diesem tag eine chance - gestern, morgen und fur immer",geschwister hofmann,,'09,german
7451,223240-a029,e1,1m 41sec,jamie lenman,xtra mile single sessions 8 (2013),null
10379,3,7 blue skies - exhausted,,exhausted,6,english
10963,008,the heart asks pleasure first (the original chillout album),michael nyman,original chillout album,2005,
9233,11,radio love - hits,magnum bonum,,'91,swedish
16105,012,"chorale partita ""herr jesu christ, dich zu uns wend"": versus 2 (works for organ, volume 1: chorale partitas / prelude, fugue and postlude in g minor)",georg bohm,"works for organ, volume 1: chorale partitas / prelude, fugue and postlude in g minor",2002,
18593,b5,bike - the piper at the gates of dawn,pink floyd,,'06,english
9154,5,lemon parade,tonic,lemon parade,'96,english
1883,013,there must be a way (a time to remember: 1967),frankie vaughan,a time to remember: 1967,,
9049,3,boombastic paradise,dj boombastic a,street parade 7: the official compilation '99,1999,english
2657,1,maximo park - apply some pressure,,les inrockuptibles presentent : un printemps 2005,05,french
14894,7,the ocean,u2,boy,2000,english
10351,011,"choices (comet, come to me)",me'shell ndegeocello,"comet, come to me",2014,
7465,4,charley pride - your used to be,,i'm gonna love her on the radio,88,english
6517,1,change - biography: the greatest hits,lisa stansfield,,'03,english
16213,003,hydrogen (hard wired),front line assembly,hrd wired,1995,
4008,008,let there be night (all-purpose lover / amant a toutes fins utiles),zoran predin & mar django quartet,all-purpose lover / amant a toutes fins utiles,1999,
17495,8,"in bloom - 1994-01-07: rape me: seattle center arena, seattle, wa, usa",nirvana,,,english
2388,1,[unknown] - dreifach,ken follett,,'08,german
15670,003,crazy girls (come on home),bethany joy lenz,come on home,,
3832,3,003-,,(1980),null,jap.
9531,5,b-tribe - fiesta fatale,,esccapes ii,97,english
16859,9,out of the blue - work this! part 2,system f,,,english
10516,5,georgette dee & terry truck - jeden tag ein kleiner tod,,nochmal mit gefuhl,98,german
18333,20,020-believe in me,matt davey,2012-09-27: a state of trance #580 (unknown),null,eng.
16042,002,minor blues (the dee why sessions),george washingmachine & ian date,the dee why sessions,,
18599,10,schau nach vorn - orkus compilation 22,greifenkeil,,'06,[multiple languages]
8253,h2,solidarity - essentials,rancid,,'12,english
17906,007,trust me (fractal 1r),trauma,fractal 1,1993,
10152,006,han (babyshower),juha pekka tapani heikkinen,babyshower,,
9007,2,coeur de loup,philippe lafontaine,"mega 80, volume 2",2000,french
3571,008,resto vivace (shadows from the sun),u.k.,shadows from the sun,,
13944,009,qi zi  (bai gui liao luan ),yin yang zuo,bai gui liao luan,2002,
2650,005,bounce!! (tha kollective),2nd ii none,tha kollective,,
11399,19,019-cat's chorus,thomas kane & colin baldry,it's a mad mad world (unknown),null,eng.
13590,2,manifest,avtomaticheskie udovletvoriteli,"prazdnik neposlushaniia, ili poslednii den' pompeia",1998,russian
17648,5,count count blessings,the oak ridge boys,bluegrass favorites (disc 1),2005,english
451,45,045-shop radio 1,eirik suhrke,spelunky (2012),null,eng.
9795,5,i lied - lowlife highlights,mustasch,,'08,english
18932,010,there goes the girl i love (the golden era of doowops: the groups of tiptop records),creations,the golden era of doowops: the groups of tiptop records,,
18954,5,005-capetown unvisited,ighthawks,as the sun sets (2004),null,eng.
5475,null,alien ant farm - sooth criminal,,"triple j: hottest 100, volume 9",02,english
9325,3,kurzer erklarender text - live against death,fil,,,german
13022,2,002-show me the way (60 second version),stephen a. love & mitchell forman & scott p. schreer,"solo instruments, vol. i (unknown)",null,eng.
5043,006,overflowing ashtrays (music is painting in the air),sensations' fix,music is painting in the air,2012,
19139,003,good for me (riddler records #10),dexplicit,riddler records #10,2007,
18065,2,canim oglum - gun olaydi,hasret gultekin,,'87,turkish
4111,8,de temps qui passe en temps qui passe,richard cocciante,richard cocciante,1994,french
2215,5,005-i know how you feel,asia,xxx (unknown),null,eng.
7866,23,benny goodmaan - i never knew,,jazz (integral collection),12,english
2835,4,lambchop - miss prissy,,tools in the dryer,01,english
16877,008,just her boyfriend (chewing on broken glass),benny skyn,chewing on broken glass,,
14393,004,ploink (everything but an answer),mysterymen,everything but an answer,2004,
16342,3,003-plane ride,tangerine dream,flashpoint (1984),null,eng.
16829,6,006-papa juquim paris,bau,blimundo (unknown),null,por.
9204,5,roots 'n' fruits - the cat scratch,pnu riff,,'98,
3642,20,pelle miljoona oy - varjo seuraa onneain,,stoori: vuodet 78-82,95,finnish
18153,4,004-dead market (exes remix),haujobb,dead market (2011),null,eng.
4088,011,a l'ombre de bumcello (get me),bumcello,get me,2003,
4338,10,sceusa,lamentu,erva tinta + a ggrissu,1998,italian
4670,2,prolog i - gondeln aus glas: commissario trons dritter fall,nicolas remin,,'07,german
4391,35,1m 33sec,,terror / prey (2009),,ng.
16543,4,honey? - tian qing,tian ye yue,,'11,english
1158,11,ruste juxx interview,ruste juxx,duck down hotline,2008,english
10982,28,"""balance of terror"": romulan theme (m22) - star trek: the original series soundtrack collection",fred steineer,,'12,english
9868,2,thriller - blood rock'n'roll and black angels,kaptain sun,,,english
6124,8,from a distance - armchair education,living room,,'13,english
11849,011,shorel jsi v jejim tele (ceremony of innocents),euthanasia,ceremony of innocents,2002,
7478,9,"johann sebastian bach - orchestral suite no. 4 in d major, bwv 1069: iii. gavotte",,brandenburg concertos / orchestral suites,09,englishh
17135,6,006-third eye,dot rotten,extra attention (2009),null,eng.
6049,23,ramo ramo,david savcic,balkan connections,,neglish
14180,4,too much joy - just like a man,,mutiny,92,english
6158,012,"steaks 'n' eggs ((we don't work, we play music)",cruel sea,"we don't work, we play music",2002,
8235,19,imp..res.02,hecker,or md comp.,2003,english
17027,6,fudge tunnel - don't have time for you,,creep diets,,english
17401,001,the gypsy returns (original mix),gypsy,the gypsyreturns,2000,
9915,6,combustion - time music for quazars,not breathing,,'95,english
15264,14,014-i can't trust me (in your arms anymore) (2),jerry lee lewis,the sun years: the definitive rock 'n' roll and country recordings: november 1956 to august 1963 (1989),null,eng.
11788,7,007-capriccio sinfonico,giacomo puccini,missa di gloria (chur symphonique et orchestre de la fondation gulbenkian de lisbonne feat. conductor: michel corboz) (1978),null,fre.
17443,019,to feel your love (driven to love),mary wells,driven to love,,
7400,5,lonely woman - turnaround,dave liebman group,,,english
10287,003,is that what you're waiting for? (afraid),crawlspace,afraid,1999,
13448,10,the agent,jim balcerek,playing life by ear,2007,english
13984,12,kevin mcdermott orchestra - too much to dream,,fair and whole,,english
11283,10,moon over kara-shehr,emperor,emperor / wrath of the tyrant,1999,english
4334,001,stompa (into the underground),winterun,into the underground,2007,
5167,1,traktorhandel - bygderock med telehiv,e-76,,'92,norwegian nynorsk
3752,6,shawn lee's ping pong orchestra - la eterna felicidad (feat. bardo martinez),,world of of funk,null,english
6493,007,by the way (the best of the tremeloes),tremeloes,the best of the tremeloes,,
1437,010,high sheriff of hazard (ramblin' boy & ain't that news),tom paxton,ramblin' boy & ain't that news,,
12899,9,luomansuun anssi,marit ja mikot,minun on ikava kesaa,,finnish
10031,10,candy,the magnetic fields,"1994-07-29: cat's cradle, carrboro, nc, usa",,english
16736,013,du bist ... (simon & jan),simon & jan,simon & jan,20 12,
17294,003,beautiful (jask's original mix) (madison (la compil' fashion)),jask,madison (la compil' fashion),2002,
13728,024,maybe just today (the legendary masters series),bobby vee,the legendary masters series,,
3511,11,bei mir bist du schon - schnuckenack live,schnuckenack reinhardt,,'08,[multiple languages]
16738,9,tommy dorsey - beale street blues,,the ultimate collection,03,english
2424,11,woodchoppers breakdown,don messer & his new brunswick lumberjacks,20th century masters: the millennium collection: the best of don messer,2005,english
4296,6,006-not afraid,rust,junkyard (2013),null,eng.
7154,9,diplodocus,noisia,drum & bass arena presents: friction & fabio,2098,eenglish
12007,4,"004-polonaise, no. 1 in c-sharp minor, op. 26",frderic chopin,"piano concerto, no. 1 / polonaise / etudes / grand valse brillante (unknown)",null,eng.
13670,1,painted on my heart - gone in 60 seconds,cult,,,english
3928,7,abhijit pohankar - manmohini (enchantress),,kamasutra kamasutra,08,[multiple languages]
11682,13,013-i'll be home for christmas (vocal take),the beach boyys,"christmas sessions: the alternative ""beach boys christmas"" album (1997)",null,eng.
18793,18,"sonnez, sonnez",claude-michel schonberg,les miserables : l'integrale,2007,french
5688,english,the thing i like,aaliya h,age ain't nothing but a number,1996,13
12062,132,132-community events,phil garrod & reed hays,"broadcast news, vol. i (unknown)",null,engf.
17361,43,043-hey diddle diddle,abc for kids,50 of the best kids songs ever! (2006),null,eng.
644,10,010-world taste sweet (stuck in the middle),maxmillion dunbar,house of woo (2013),null,eng.
11160,013,heavenly pop hit (the great new zealand song book - souvenir edition),chills,the great new zealand song book - souvenir edition,2011,
1464,3,dynamite pressure (taio cruz vs. queen & david bowie) - best of bootie 2010,dj tripp,,'10,english
10646,10,negai - qi xi ye xiang qu  cun xia xiao zang zui gao xuan qu ji  qi noyi,cun xia xiao zang,,'05,japanese
13445,4,"violin concerto no. 1 in d major, op. 6: i. allegro maestoso",niccolo paganini,great romantic concertos,1994,english
10091,4,lillebjorn nilsen - far har fortalt,,tilbake,03,ngorwegian
