cluster,id,number,title,artist,album,year,language
1164,2226,28,der schwarze bumerang : der schwarze bumerang - abenteuer klassiker : originalmusik aus den legendaren tv - vierteilern,carl joachim ludwig,,' 01,[ multiple languages ]
794,1509,5,luke haines and the auteurs - starstruck,,unk .,03,english
3719,7142,8,080 -,dj scotch egg,( 2010 ),null,jap .
4723,9127,9,james horner - piece of the puzzle / katrina in park house,,jade,10,english
1331,2557,003,"take the a train ( 3 of 5 ) ( the norton recordings 10th edition , volume 2 : schubert to the present )",duke ellington & billy strayhorn,"thenortonrecordings10thedition , volume2 : schuberttothepresent",2007,
3785,7272,008,moment of impact ( compilation rock hard 47 ),fear factory,compilation rock hard 47,2005,
1687,3253,4,jubilate deo ( tract ),the norbertine fathers of st . michael ' s abbey,anthology : chants and polyphony from st . michael ' s abbey abbey,2009,latin
6239,11981,2,002 - so good,de la soul,oooh ._( 2000 ),null,eng .
4538,8768,003,patthar ke khuda patthar ke sanam ( passions ),jagjit singh,passions,,
7433,14369,5,gigantic - surfer rosa,pixies,,' 88,english
6007,11536,7,007 - oh !,spinback siociety,bone crushing brooklyn beats ( 1998 ),null,eng .
2664,5120,12,012 - wahlwerbung vor der haustur : die brauen,dietmar wischmeyer,wir sind die niedersachsen : die berichterstattung zur niedersachsenwahl 1994,1994,ger .
6086,11685,36,crystal image ( 30 second version ) - scientific breakthrough,john young,,,english
5851,11243,007,route nationale 7 ( les tueurs de la lune de miel ),honeymoon killers,lees tueurs de la lune de miel,,
3428,6587,7,moten swing - the twelve clouds of joy with mary lou williams,andy kirk and his twelve clouds of joy,,' 93,english
4352,8411,9,009 - solace,al di meola,cielo e terra ( 1985 ),null,unknown
1200,2303,9,un marin c ' est bien - aux vents solitaires,hugues aufray,,' 01,french
9966,19313,13,013 - heartbeat color,czech philharmonic chamber orchestra,please save my earth image soundtrack ( us version ) ( unknown ),null,eng .
2806,5391,013,"humanoid ( 2010 - 06 - 10 : a state of trance # 460 : sodo showbox , seattle , u . s . a .)",jochen miller,"2010 - 06 - 10 : a state of trance # 460 : sodo showbox , seattle , u . s . a .",,
8768,17045,003,hush ( lucid aggression ),presomna,lucid aggression,,unknown
3980,7673,3,003 - nick nack song,the new lost city ramblers,the new lost city ramblers vol . 5 ( 1963 ),null,eng .
2674,5138,5,deep purple - woman from tokyo,,"live in europe , 1993",06,english
7577,14645,16,a man needs a woman,hot chocolate,"a ' s , b ' s & rarities",,english
6229,11965,4,car line - truck stop,,route 66,93,unk .
4402,8512,8,008 - amends,braids,flourish // perish ( unknown ),null,eng .
9147,17743,8,hey hey hey ( pop another bottle ) - the dome : summer 2012,laurent wery feat . swift k . i . d . & dev,,' 12,english
3593,6906,12,mysteries explored,kevin penkin,defender ' s quest : valley of the forgotten ost,2012,english
5334,10272,7,007 - imagine,thespinners,a golden hour of the spinners ( unknown ),null,eng .
954,1794,7,e . e . - without mercy,durutti column,,' 98,english
3735,7176,1,bare necessities - the ragg,,"simple pleasures , the english country dance collection volume 3",00,english
569,1075,007,"full of holes ( 2012 - 01 - 21 : variety playhouse , athens , ga , usa )",grapees,"2012 - 01 - 21 : variety playhouse , athens , ga , usa",,
5180,9981,5,tak to chodi,jaroslav samson lenk,me hodne pisne,1992,czech
6580,12645,9,meu mundo numa quadra - conta,m . takara,,' 07,portuguese
4364,8439,12,012 -,,original sound track 2 ( 2012 ),null,jap .
1108,2096,1,the new installment - rebirth of detroit,j dilla,,' 12,english
3453,6633,10,fifty - fifty clown,cold mailman,c44,2011,english
9305,18058,8,watermelon man,mongo santamaria,"golden memories , volume 22",,english
5170,9960,009,amygdala ( mind over midi emotional memories remix ) ( tea lounge oslo : aroma no . 1 ),frost,tea lounge oslo : aroma no . 1,2003,
3474,6674,6,[ untitled ],shumy rossii,"experimental structure ( 2008 - 10 - 06 : live at esg - 21 , st . petersburg )",2008,english
8206,15915,9,transilvanian hunger,annorkoth,silent woods,2011,english
6497,12475,1,serenata jibara - llego pa ' quedarse,corporacion latina,,' 76,spanish
7519,14534,3,artie shaw - rosalie,,big bands : encore,93,english
2335,4496,008,apply directly to the forehead ( wal * mart - approved music ),hathaway family plot,wal * mart - approved music,2009,
4310,8333,12,francois,driving past past,real estate,1999,english
4005,7722,5,"ray charles - baby , won ' t you please come home",,the very best of ray charles,03,english
9206,17858,011,wonderful ( shuttlecock ),super transatlantic,shuttlecock,,
8842,17171,2,funky y - 2 - c - the puppies,puppies,,,english
4278,8264,007,family feud ( the wire tapper 17 ),von sudenfed,the tapper wire 17,2007,
9577,18562,5,stardust,ralph novell,,' 07,english
7033,13570,8,cucumber surrender ( back to mono kero ),ex - girl,back to mono kero,2002,
9560,18533,5,deliverance ( edit ),opeth,concrete corner : january sampler 2003,2003,english
6552,12594,001,"disco - techno ( october 22 , 2009 )",techno basil,"october 22 , 2009",,
5954,11444,004,fernsehen mit deiner schwester ( du tragst keine liebe in dir ),echt,du tragst keine liebe in dir,1999,
3587,6895,4,004 - i ' m blessed,brendan benson,one mississippi ( 1997 ),null,eng .
2270,4370,9,the carter family - i ' m thinking tonight of my blue eyes,,american roots : a history of american folk music,00,english
8360,16221,3,black hole - urban revolutions : the dj z - trip megamix,z - trip feat . the bulletproof space travelers,,,english
8096,15687,5,"soul call - jazz collection ( disc 2 : taking the "" a "" train )",duke ellington & his orchestra,,,english
1513,2892,4,avalanche - overnight sensation,,avalanche,76,english
815,1547,2,cassino - the old year,,sounds of salvation,07,english
1819,3508,65,[ no artist ] - rollercoaster,,"fun ! with sound effects , volume 3",94,english
2492,4798,3,003 - blaue augen ( geburtstags hardcore mix ),blumchen,blaue augen ( unknown ),null,ger .
2614,5032,1,little girl,the henry road,and arm,2003,english
6926,13375,1,001 - deep,nulll,deep ( unknown ),null,eng .
9772,18941,11,die guten - wenn du weg bist,,alles gute,99,geramn
1063,2007,4,close rto me,millenary,high energy,,english
6313,12129,36,boris jojic - walking waves,,symphonic documentaries,,english
6265,12036,2,002 - when you ' re in love,middleman,blah blah blah ( 2007 ),null,eng .
9766,18929,19,019 - no doubt about it,hot chocolate,top ten hits of the 80 ' s ( 2000 ),null,eng .
7687,14864,005,kuang xiang shi jie ( yong yuan de di yi tian ),wang li hong,yong yuan de di tian,2000,
8673,16862,6,sono un fallito,adriano celentano,"le origini , volume 2 ( 1968 - 1972 )",,italian
4092,7889,008,"as time goes by ( pirkko , brita ja vieno )",brita koivunen,"pirkko , brita ja vieno",2013,
9086,17621,3,003 - noches de verano (( summer nights ),timbiriche,la banda timbiriche en concierto ( unknown ),null,spa .
209,391,020,fire trees ( voices of the world ),chris gibbons,voices of the world,,
1894,3663,4,yes you are - the lost cause minstrels,grayson capps,,' 11,english
8815,17126,003,"gloria , rv 589 : gloria ( la folie vivaldi )","deborah york , patrizia biccire , sara mingardo & concerto italiano , rinaldo alessandrini",la folie vyivaldi,2008,
4349,8406,6,"[ community and ecology , part 2 ]",jon young,seeing through native eyes : understanding the language of nature,1996,english
5580,10727,051,null,carola,rakkauden jalkeen : kaikki levytykset ja arkistojen aarteita ( 1963 - 1988 ),2011,
1846,3567,6,tomame,alazan,alcanzaras la luna,2000,spanish
4784,9244,001,breit ( hau - ruk ),xhol caravan,hau - ruk,2002,
7122,13742,3,sunshine of your love,cream,guitar moods,2003,english
2588,4980,13,my man believes me - mojo presents stax soul power !,carla thomas,,' 07,english
7438,14379,12,40 synow i 30 wnukow jezdzacych na 70 osletach - tylko jezus,,koncertowo,,polisbh
51,100,3,tropical dudes - busybodies,,tropical monsters,08,english
4287,8288,41,the zoo gang : incidental cue - the music of itc,ken thorne,,' 09,english
8225,15949,1,001 - un soir de pluie,blues trottoir,frenchy people ( 1999 ),null,fre .
2932,5632,3,003 - he is my everything,elvis presley,"pure diamonds , volume 3 : gospel greats and stax ( unknown )",null,eng .
8333,16176,33,onakaniuzumaki ( kaerunoge ) - breath of fire original soundtrack special box,qing mu jia nai,,' 06,
1774,3422,27,variationen b - dur k . 500 - var . 12 - stanislav bunin,wolfgang amadeus mozart,,,
4869,9412,9,que es lo que hace usted ( feat . jorrin ) - cuban music,tit ogomez,,,spanish
9964,19310,7,bun b - three kings ( feat . slim thug & t . i .),,"get screwed up : kings of the underground , part 1",,english
3251,6241,7,007 - if only i were a butterfly,imogen heap,class of 95 ( unknown ),null,eng .
6149,11803,9,dance me till the end of love - paws for love,joel david,,' 96,english
2642,5085,8,the spell,ancient wisdom,... and the physical shape of light bled,2000,english
8845,17177,010,du liebst mich nicht ( niels frevert ( deluxe edition )),niels frevert,niels frevert ( deluxe edition ),2007,
8694,16900,009,khayelihle khaya lami ( ulwandle oluncgwele ),ladysmith black mambazo,ulwandle oluncgwele,1981,
10,13,1,001 - deja vu,blanket,nice ( 2000 ),null,ng .
9804,19000,13,013 - phoenix,aquarian dream,can ' t stop movin ' ( 2008 ),null,eng .
5332,10268,2,ai nodiao be,win a sheep free,with little songs,2004,japanese
8023,15538,3,003 - everyday madness everyday,heresy,visions of fear ( unknown ),null,eng .
328,622,20,020 - mama kilio ee,mwenda jean bosco,songs with guitar ( shaba / zaire ) ( 1997 ),null,swa .
1850,3577,13,crystal waters - gypsy woman,,incredible sound of the dreem teem,00,english
5973,11481,0b2,i loves you porgy ( rita reys sings the george gershwin songbook ),rita reys,rita reyhs sings the george gershwin songbook,1975,
5050,9755,3,nate james - kingdom falls ( go home productions dub ),,kingdom falls,07,english
3903,7518,008,dig in ( disintegration effect ),lo - pro,disintegration effect,2013,
980,1846,24,024 - t . v . is the thing,dinah washington,the queen of the blues ( 1996 ),null,eng .
3929,7570,010,envy ( will rock for jesus ),east west,will rock for jesus,,
9307,18063,5,ismo alanko teholla - seitseman paivaa,,blanco spirituals,08,finnish
1430,2729,5,nieuwe vibrator - ostensche pretensche,pretueleute,,' 05,dutch
7976,15446,9,paniq - ulysergum,,advertising f or metaphysics,08,english
1159,2217,003,oba to laiye ( live at the hollywood palace ),king sunny ade,live at the hollywood palace,,
8725,16965,6,006 - heading,jackie ory,time & love ( unknown ),null,eng .
2077,4016,11,st . mary ' s gate,love spit love,love spit love,1994,english
2113,4079,11,"sex changes - 2005 - 02 - 27 : flex , vienna , austria",dolls dresden,,' 05,english
7802,15091,4,let that poor boy sing,austin cunqningham,let that poor boy sing,' 99,english
9031,17523,32,021 - it all ends,outrage,516 - a long island hardcore compilation ( 1996 ),null,eng .
2711,5209,10,path of 1000 miles ( feat . buckethhead ) - audio men,double e,,' 00,english
4315,8342,010,let the rest of the world go by ( out of africa ),john barry,out _ of _ africa,,
8651,16812,3,space dogs - we will rock you ( feat . craft ),,replay - dance rock mania,,english
9928,19243,010,freedomjazzdance ( yoursandmine ),tana / reid,yours and mine,,
6940,13396,006,murmur ( threesome ),aldo romano,threesome,2004,
3466,6657,1,001 - ix : der einsiedler,urfaust,ix : der einsiedler ( 2009 ),null,ger .
8844,17175,12,kommando sonne - nmilch - es war eine barin ( mega mopel mix ),,zehn b,04,[ multiple languages ]
3286,6308,009,love of the common people ( good times no . 1 hits ( disc 1 )),paul young,good times no . 1 hits ( disc 1 ),2005,
5118,9860,28,the morning after,john barry,until september,2011,en glish
6548,12587,5,memory layne,blacklisted,"heavier than heaven , lonelier than god",2008,english
6141,11791,8,vengeance demain,d - stop,nouvelles du front,2008,french
7174,13839,001,"be all , end all ( anthrology : no hit wonders ( 1985 - 1991 ))",anthrax,anthrology : no hit wonders ( 1985 - 1991 ),2005,
8487,16479,3,o preguicoso - latin deluxe : dia em noite,intuit,,' 02,[ multiple languages ]
7400,14295,30,proud capital,arnold steck,archive : ceremonial,,english
1994,3849,3,003 - no ways tired,fontella bass,nonesuch late night ( 1995 ),null,eng .
4025,7760,3,have you seen her - the very best of,chi - lites,,' 02,english
3670,7055,24,024 - gimme some truth,generation x,ready steady go ( unknown ),null,eng .
1069,2017,9,happilydamagedtheinfluence,acid lab,,' 97,english
5554,10673,3,nothing serious - been around,2 day rule,,' 03,english
351,658,5,taj _ mahal _-_ fanning _ the _ flames,,phantom blues,85,english
9637,18674,14,"014 - cancionero de palacio : romances "" si d ' amor pena sentis """,[ anonymous ],music from christian & jewish spain 1450 - 1550 ( feat . jordi savall ) ( 2001 ),null,spa .
9098,17637,5,stronger,gary barlow,"twelve months , eleven days",1999,english
3747,7202,3,elpaso,grateful dead,"1977 - 05 - 08 : ithaca , ny , usa",,english
9638,18677,6,dreaming of the hills - up in the high country,big country bluegrass,,' 98,english
3602,6930,008,running out of ink ( blam uk tour : london 03 - 30 - 2007 ),barenaked ladies,blam uk ftour : london 03 - 30 - 2007,2007,
122,235,4,pout - porri : inigualavel paixao / falsa consideracao,art popular,pagode pra valer,1999,portuguese
1190,2280,13,cheap trick - california man,,the palladium & the bottomline,,english
992,1866,5,,dragonforce,,' 08,englihs
3734,7175,002,a train to nowhere ( radio edit ),bad boys blue,a train to nowhere,,
1129,2147,13,sleep little baby - halloween sound effects ( 1999 ),[ no artist ],,,english
557,1051,9,inertia - the chamber,,judgement euphoria,05,english
5438,10456,a6,negator - spring i ' m in,alligator indian,,' 12,english
1189,2278,13,ich werde sein - licht und schatten,fuckin ' faces,,' 97,german
8421,16346,b4,bad manners - educatng marmalade,,forging ahead,84,english
3880,7474,2,rakkaus on rajaton,irwin goodman,vain elamaa : kootut levytykset 1965 - 1990,2010,finnish
4544,8780,011,muscle car ( destroy rok & roll ),mylo feat . freeform five,destroy rock & roll,2006,
7969,15432,3,"003 - hey dj , i can ' t dance ( to that music you ' re playing ) ( lesson one mix )",betty boo and the beatmasters,"hey dj , i can ' t dance ( to that music you ' re playing ) ( 1991 )",null,eng .
3500,6721,9,the zombies - time of the season,,nme presents : under the influence,00,english
2170,4187,009,i ' m guilty of lovin ' you ( power of the pontchartrain ),tab benoit,power of the pontchartrain,,
9361,18148,33,fx and scratches - bust a groove,paul oakenfold,,' 00,english
9454,18332,10,run - d . m . c . - run ' s house,,"hip hop classics , volume 1",05,english
7762,15013,311,homelyfeel ( promos7 : chatshow / lifestyles ),robin webb,promos 7 : chat show / lifestyles,,
3953,7626,4,po lu mei - don ' t console ( instrumental ),,naked floewr,07,jcapanese
7766,15018,005,give me a chance ( dap dippin ' with sharon jones and the dap - kings ),sharon jones and the dap - kings,dap dippin ' with sharon jones and the dap - kings,2002,
6683,12856,2,s . v . d - destiny,,hope,03,english
3120,5986,5,palomar - hangin ' with nat,,palomar,,null
1574,3024,4,say it,chicago blues angels,movin ' out,,english
1614,3108,1,black night - kneipenhits : 70 ' s party,deep purple,,' 06,engilsh
7069,13641,015,crackerboy ( pistolero del fuego mix ) ( golgo 13 ),cult of jester,golgo golgo,2000,
5837,11219,7,feline - c ' est la vie,gueules d ' aminche,,' 13,french
6943,13401,10,freed _ from _ desire _-_ come _ into _ my _ life,gala,,' 97,english
6738,12968,14,dementia simplex - testicle crack,,"yeah , i killed my mama",98,english
7666,14818,2,alone - vendetta,vitto,,' 05,english
923,1736,3,old years - the heron smiled,annie humphrey,,' 00,english
1643,3164,11,le disque use,edith piiaf,dejavu retro gold collection,,french
1019,1918,1,001 - city of new orleans,david hasselhoff,sings america ( 2004 ),null,eng .
6596,12678,3,003 - istress,cursed legacy,death of a hero ( unknown ),null,unknown
5566,10696,7,genesis - the cinema show,,selling england by the pound,9 9,englsish
1814,3499,13,tassilli players - new zealand,,2000 - an atlas of the world in dub,,english
4034,7777,6,"patience , please - "" somethings :",oregon donor,,,english
3138,6017,11,mean mr . mustard - abbey road,beatles,,' 04,english
3115,5977,2,search and destroy ( live ),sid vicious,god save this box,2095,english
8806,17110,65,allegro,turk / zehe,acoustic guitar,,germa kn
7354,14208,1,boy krazy - that ' s what love can do,,boy krazy,93,null
2292,4416,001,beyond ( rituals of the grotesque ),burial invocation,rituals of the grotesque,2010,
3008,5779,011,ode to the wwest wind ( immersion ),mephistom walz,immersion,1998,
7582,14656,004,sober & single ( ice storm ),rival boys,ice storm,2014,
4060,7832,13,pedron - 45 grandes exitos de oro ( disc 2 ),vicente fernandez,,,spanish
1275,2447,24,024 - if i had a boat,[ unknown ],best of silly song parade ( unknown ),null,eng .
7258,14010,2,zeta bieng ( original version ) - 6th element,zymosis,,' 11,english
9042,17540,18,gioconda belli - bibel,,"wenn du mich lieben willst ( gelesen von juliane kosarev , musik von jorge cardoso )",01,german
1631,3144,22,"all the time ( ultra rare rockabilly ' s , volume 7 )",werlyfairburn,"rare rockabilly ' s , volume 7",1992,
869,1641,6,flight - psycho,bernard herrmann,,' 89,english
8869,17219,a3,cover,network,,' 84,english
255,472,2,002 - vision,dr . jeffrey thompson,creative mind system ( 2005 ),null,eng .
1555,2986,5,piesn pierwszomajowa - piosenki z trumienki 1965 - 2002,maciej zembaty,,' 05,polish
3842,7389,10,arkona - bol ' no mne,,10 let vo slavu,13,russian
2729,5241,10,"hary janos , opera , op . 15 : intermezzo",zoltan kodaly,"karajan edition : handel , vaughan williams , ravel , britten , sibelius , debussy , bartok , kodaly",1993,english
6670,12837,010,good advices ( fables of the reconstruction ),r . e . m .,fables of thhe reconstruction,1992,
7973,15442,35,the specials - gangster,,"as heard on radio soulwax , part 10",04,english
7906,15297,5,the christmas song,jackie gleason,white christmas,,english
3495,6710,14,terraplane blues,roy rogers,blues story,2001,english
6579,12644,10,there is something on your mind,bgi jay mcneely,the rock ' n ' roll era : lost treasures ii,1992,english
989,1862,19,"j . r . r . tolkien , narrated by rob inglis - book iv : "" the ring goes east "", chapter 3 : "" the black gate is",,the two towers : unabridged,,english
2702,5192,3,003 - strider ' s world,omar - s,fabric 45 : omar s : detroit ( 2009 ),null,eng .
6225,11955,1,001 - courage & conviction,crazy 8s,big live nut pack ! ( disc 1 ) ( unknown ),null,unknown
31,57,11,it ' s a heartache,bonnie tyler,"seventies top 100 , volume 2",2008,english
6413,12316,1,boy next door,jon peter lewis,stories from hollywood,,english
4316,8345,28,017 - messiah : hallelujah,georg friedrich handel,het kerstconcert ( 1991 ),null,eng .
7457,14421,6,006 - la senal,anacaona,lo que tu esparabas ... ( unknown ),null,unknown
4652,8997,9,kore . udro . - ekei pou agapethekan,,ole e aletheia gia ta paidia tou ' 78,09,greek
6939,13394,007,sweet island love ( jonathan ),jonathan butler,jonathan,,
9127,17699,4,landevir - recuerdos,,suenos celtas,05,sapnish
7986,15466,17,the lau - onder aan de dijk ( feat . ( feat . sarah bettens ),,"de komplete kleinkunstkollektie , volume 5",04,dutch
2531,4875,12,heute wie damals,sozi brain,die lebensfreude wahrend deiner depressionen,2007,german
3111,5971,9,fbi - psv - goal,,psv kampioen : 04 simply the best 05,05,dutch
4842,9366,14,gli uccelli : v . il cuculo - ottorino respighi : orchestral works,ottorino respighi,,' 96,italian
3550,6832,17,"images , set ii ; ii . et la lune descend sur le temple qui fut .",claude debussy,"complete works for solo piano , volume i",1993,frenhc
987,1860,3,voodoo lovve ( steve angello remix ) - ministry of sound : the us annual 2011,lee - cabrera,,' 10,english
9496,18412,5,them changes,carlos santana & buddy miles,carlos santana & buddy miles ! live !,1972,english
8897,17270,17,i don ' t know why ( i love you ) ( kenny dope remix ) - soul heaven presents kenny dope & karizma,brand new heavies,,' 07,english
1023,1926,005,touching the sound ( trance - the ultimate collection - best of 2009 ),mac & monday,trance - the ultimate collection - best of 2009,,
5158,9934,004,gravity ( continuum ),john mayer,continuum,2007,
968,1821,13,cornpone brunch - a digest compendium of the tortoise ' s world,tortoise,,' 96,english
861,1627,007,everything ( kaskades big room mix ) ( hed kandi : beach house 04 . 05 ),kaskade,hed kandi : beach house 04 . 05,2005,
9569,18549,12,lullaby to erle - at first light,silje nergaard,,' 01,english
7823,15128,4,mute ( the puff remix ) ( feat . crisp ),techno squirrels,mute,' 05,english
8260,16037,1,pipes and drunx,bastards on parade,"the celtic punk sampler , volume xiv : spain",2009,spanish
8704,16925,016,the want of a nail ( feat . bobby womack ) ( the very best of todd rundgren ),todd rundgren,the very best of todd rundgren,1997,
2577,4958,a3,boppin pete trio - rockin down the ave .,,rainin & stormin,81,english
963,1814,3,call of the dark,wild dogs,reign of terror,,english
8335,16179,15,albert ' s groove,dave d ' angelico,the blues according to texvas son,,english
1334,2562,4,arts the beatdoctor - crazy times ( feat . skiggy rapz ),,fragments _ ep,06,english
3041,5839,15,i want to be where you are ( god will make a way ),don moen,god will make a way,,
1150,2196,2,welcome to dying - tales from the dark side,blind guardian,,,english
9759,18918,015,living underground ( outside interference ),flounger,outside interference,,
1134,2158,6,steve roach - cloudwatching with the toolmaker,,on this planet,97,english
3825,7352,6,huang shu jun - tian shi,,gai bian 1995,01,chinese
6614,12721,10,across waters - a thought crushed my mind,blindside,,' 05,english
1978,3818,12,came to dance - rira,soheil nafissi,,' 05,english
9339,18114,5,unity pacific - 1000 nights,,into the dread,07,english
3996,7703,004,"some song and dance - pip , squeak ( before we were born )",bill frisell,before we were born,19 89,
9493,18406,2,"motley crue - girls , girls , girls",,"music to crash your car to , volume i",03,english
9751,18905,13,take it where you find it,van morrison,still top : on the greatest hits,2007,english
696,1318,016,crazy music ( 80s hit news more greatest hits ),ottawan,80s hit news more greatest hits,2008,
1371,2627,3,la abandone y no sabia - sus exitos con roberto chanel,osvaldo pugliese,,' 98,spanish
6875,13269,8,rick springfield - don ' t talk to strangers,,compact disc club - the rock party,96,english
9562,18535,003,the trouble with me is you ( moonglow ),nat king cole,mooonglow,,
9284,18013,15,sweet fa,the sweet,glitz bliitz & hitz,2904,english
8566,16634,003,i ' m in darkness ( remake ' 96 ) ( hallucinations ),atrocity,hallucinations,2008,
5192,10002,10,"cassation for orchestra in g major , k . 63 : i . marche - complete mozart edition",wolfgang amadeus mozart,,' 00,[ multiple languages ]
4245,8192,007,stupid cupid ( dogs and cats living together ),stanford university mixed company,dogs and cats living together,2000,
3347,6421,008,celebrity judges ( romance is a slowdance ),crumb,romance is a slowdance,,
5163,9947,008,8 ( fuengirola ),rordam,fuengirola,,
3887,7484,5,robyn - we dance to the beat,,"body talk , part 2",10,english
4320,8352,a1,sound of ruby - pregnant house maid,,sound of ruby,11,null
6498,12479,2,tai phong - farewell gig in amsterdam,,last flight,07,english
2152,4148,21,021 - no way out,six feeft deep,orange county ' s punk vs . ska : round one ( 1997 ),null,eng .
4911,9494,4,cafe interpol - exiles in mainstream,havana black,,' 91,emnglish
7499,14501,19,dirty south & those usual suspects feat . erik hecht - walking alone,,"now dance 2012 , part 1",12,english
5191,10001,12,black kids - you turn me on,,partie traumatic,09,english
1222,2343,unknown,who you with,katchafire,best so far,,english
166,313,010,in my lifetime ( my promise to the game in my lifetime ),soulja flow,my promise to the game in my lifetime,2000,
7514,14526,9,voodoo & serano - blood is pumpin ',null,wild reunion 1996 - 2011,11,engliesh
9235,17917,14,penceremden gapkyaoezaoene,fatih erkoass,kapr randevu ( collection ),2007,turkish
1671,3221,6,006 -,deadman,no alternative ( 2003 ),null,jap .
1237,2374,9,009 - i ' m not a fucking drag queen ( edited film version ),peter outerbridge,better than chocolate ( 1999 ),null,eng .
8825,17145,007,overnighter ( ley lines ),embrace the end,ley lines,2008,
